Date,Open,High,Low,Close,Adj Close,Volume
2022-12-19,1089.000000,1090.000000,1071.000000,1080.000000,974.117676,37546
2022-12-26,1080.000000,1090.000000,1050.000000,1070.000000,965.098022,72836
2023-01-02,1090.000000,1090.000000,1051.000000,1060.000000,956.078430,18109
2023-01-09,1053.000000,1070.000000,1022.000000,1023.000000,922.705872,63598
2023-01-16,1050.000000,1051.000000,1026.000000,1050.000000,947.058838,28827
2023-01-23,1035.000000,1050.000000,1010.000000,1012.000000,912.784302,120748
2023-01-30,1020.000000,1040.000000,1005.000000,1020.000000,920.000000,49291
2023-02-06,1010.000000,1038.000000,1000.000000,1026.000000,925.411743,67550
2023-02-13,985.000000,1040.000000,985.000000,1020.000000,920.000000,104062
2023-02-20,1040.000000,1040.000000,1007.000000,1040.000000,938.039246,50636
2023-02-27,1037.000000,1089.000000,1021.000000,1040.000000,938.039246,151417
2023-03-06,1020.000000,1050.000000,1000.000000,1050.000000,947.058838,111584
2023-03-13,1050.000000,1050.000000,1011.000000,1050.000000,947.058838,28405
2023-03-20,1050.000000,1050.000000,1000.000000,1025.000000,924.509827,43706
2023-03-27,1003.000000,1025.000000,1002.000000,1025.000000,924.509827,38680
2023-04-03,1025.000000,1050.000000,1025.000000,1030.000000,929.019592,20413
2023-04-10,1030.000000,1050.000000,1030.000000,1031.000000,929.921570,84143
2023-04-17,1031.000000,1050.000000,1015.000000,1049.000000,946.156860,25954
2023-04-24,1030.000000,1050.000000,1030.000000,1050.000000,947.058838,17503
2023-05-01,1035.000000,1050.000000,1035.000000,1040.000000,938.039246,13878
2023-05-08,1040.000000,1050.000000,920.000000,970.000000,874.901978,150275
2023-05-15,999.000000,1020.000000,970.000000,972.000000,876.705872,26326
2023-05-22,975.000000,1000.000000,960.000000,980.000000,883.921570,23472
2023-05-29,960.000000,1014.000000,952.000000,999.000000,901.058838,34829
2023-06-05,998.000000,999.000000,932.000000,960.000000,865.882385,81592
2023-06-12,960.000000,1200.000000,955.000000,1200.000000,1082.352905,151138
2023-06-19,1021.000000,1200.000000,1006.000000,1179.000000,1063.411743,38396
2023-06-26,1150.000000,1200.000000,1052.000000,1200.000000,1082.352905,90601
2023-07-03,1136.000000,1450.000000,1101.000000,1101.000000,993.058838,67008
2023-07-10,1101.000000,1200.000000,1100.000000,1125.000000,1014.705872,37903
2023-07-17,1199.000000,1199.000000,1100.000000,1189.000000,1072.431396,23430
2023-07-24,1189.000000,1190.000000,1140.000000,1190.000000,1073.333374,113620
2023-07-31,1195.000000,1195.000000,1111.000000,1194.000000,1076.941162,4910
2023-08-07,1110.000000,1169.000000,1110.000000,1136.000000,1024.627441,5730
2023-08-14,1135.000000,1150.000000,1126.000000,1140.000000,1028.235352,50017
2023-08-21,1140.000000,1150.000000,1112.000000,1130.000000,1019.215698,61693
2023-08-28,1116.000000,1175.000000,1112.000000,1175.000000,1059.803955,93354
2023-09-04,1175.000000,1190.000000,1151.000000,1152.000000,1039.058838,41042
2023-09-11,1180.000000,1200.000000,1145.000000,1175.000000,1059.803955,144697
2023-09-18,1200.000000,1298.000000,1110.000000,1165.000000,1050.784302,146957
2023-09-25,1111.000000,1165.000000,1111.000000,1165.000000,1165.000000,23091
2023-10-02,1199.000000,1199.000000,1111.000000,1111.000000,1111.000000,35086
2023-10-09,1125.000000,1125.000000,1090.000000,1120.000000,1120.000000,37014
2023-10-16,1065.000000,1135.000000,1065.000000,1135.000000,1135.000000,8206
2023-10-23,1120.000000,1125.000000,1071.000000,1075.000000,1075.000000,23569
2023-10-30,1071.000000,1090.000000,1050.000000,1090.000000,1090.000000,152738
2023-11-06,1088.000000,1089.000000,1022.000000,1055.000000,1055.000000,103110
2023-11-13,1055.000000,1075.000000,1050.000000,1056.000000,1056.000000,80622
2023-11-20,1074.000000,1074.000000,1025.000000,1050.000000,1050.000000,78205
2023-11-27,1050.000000,1055.000000,1026.000000,1042.000000,1042.000000,73380
2023-12-04,1030.000000,1055.000000,1030.000000,1055.000000,1055.000000,151044
2023-12-11,1055.000000,1055.000000,1050.000000,1050.000000,1050.000000,33341
2023-12-18,1055.000000,1060.000000,1050.000000,1050.000000,1050.000000,36225
2023-12-19,1055.000000,1055.000000,1053.000000,1053.000000,1053.000000,1397
