Date,Open,High,Low,Close,Adj Close,Volume
2023-01-01,1090.000000,1090.000000,1005.000000,1039.000000,937.137268,256873
2023-02-01,1040.000000,1040.000000,985.000000,1021.000000,920.901978,314299
2023-03-01,1040.000000,1089.000000,1000.000000,1025.000000,924.509827,305441
2023-04-01,1025.000000,1050.000000,1015.000000,1050.000000,947.058838,148013
2023-05-01,1035.000000,1050.000000,920.000000,1000.000000,901.960815,238780
2023-06-01,1000.000000,1200.000000,932.000000,1200.000000,1082.352905,371727
2023-07-01,1136.000000,1450.000000,1100.000000,1194.000000,1076.941162,243778
2023-08-01,1190.000000,1195.000000,1110.000000,1155.000000,1041.764771,181350
2023-09-01,1154.000000,1298.000000,1110.000000,1165.000000,1050.784302,388324
2023-10-01,1199.000000,1199.000000,1051.000000,1051.000000,1051.000000,141999
2023-11-01,1052.000000,1090.000000,1022.000000,1026.000000,1026.000000,426231
2023-12-01,1035.000000,1060.000000,1026.000000,1050.000000,1050.000000,244310
2023-12-19,1055.000000,1055.000000,1053.000000,1053.000000,1053.000000,1397
